#	DMR_Hosts.txt
#
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#	Origional idea from Adrian Craig (M0GLJ)
#
#	Updated 24-10-2023 FreeDMR Digital Network
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. NO SPACES!!
#
#	Downloaded from https://raw.githubusercontent.com/FreeDMR-Digital-Network/MW0MWZ-HostFiles/main/DMR_Hosts.txt
#
######################################################################################################
#
#				DMRGateway / Internal Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMRGateway			0000	127.0.0.1				none		62031
DMR2YSF				0000	127.0.0.2				none		62033
DMR2NXDN			0000	127.0.0.3				none		62035
######################################################################################################
#
#				BrandMeister Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
BM_2621_Germany			2621	2621.master.brandmeister.network	passw0rd	62031
BM_2622_Germany			2622	2622.master.brandmeister.network	passw0rd	62031
######################################################################################################
#
#				FreeDMR Network Germany, France, Ireland, UK  DE/F/IE/UK Hosts Below for licenced free
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
FreeDMR_Digital			0000	freedmr.digital				passw0rd	62031
FreeDMR_Ersatz			0000	droidstar.de				passw0rd	62031
FreeDMR_Bayern			0000	dmr446.ddnss.de				passw0rd	62031
FreeDMR_Ireland			0000	unmsomci.myvnc.com			passw0rd	62031
FreeDMR_Ungarn			0000	bencsikserver.hu			passw0rd	62031
FreeDMR_UK				0000	test.uk						passw0rd	62031
######################################################################################################
